,sequence_names,true_vals,pred_vals,Fold
173,>CHR16:48867476-48867676,0.295854098017867,0.03739662,0
174,>CHR8:90489736-90489936,-0.0903995142992868,0.19622236,0
175,>CHR6:135785885-135786085,-0.463762369730278,-0.18229581,0
176,>CHR14:65892015-65892215,-4.8544949248752,-0.42932272,0
177,>CHR9:35265106-35265306,0.671970996968283,-0.15862615,0
178,>CHR16:10422225-10422425,0.0274901663855537,-0.083596066,0
179,>CHR11:80306156-80306356,0.910577580792169,-0.2632327,0
180,>CHR19:6794896-6795096,-0.203835971149733,-0.093118265,0
181,>CHR7:78165106-78165306,0.498965747108696,0.02259503,0
182,>CHR6:98489916-98490116,-0.00758614526498021,-0.2699819,0
183,>CHR6:7374095-7374295,-0.250834752756163,-0.3543128,0
184,>CHR5:79971356-79971556,-0.264621840743261,0.18375634,0
185,>CHR12:151815-152015,-0.0127874526413361,0.020309638,0
186,>CHR5:134853345-134853545,0.200675878356009,-0.24915811,0
187,>CHR6:110814615-110814815,-0.203839050667886,-0.10224785,0
188,>CHR14:44908286-44908486,-0.41715304002811,-0.41441098,0
189,>CHR1:233387875-233388075,-0.426863808129096,-0.31631783,0
190,>CHR2:47386840-47387040,0.0168499320535876,-0.31203356,0
191,>CHR17:27832896-27833096,0.615938071918058,-0.2037897,0
192,>CHR5:158444915-158445115,0.545380655562837,-0.3228387,0
193,>CHR19:13855066-13855266,0.445850274697734,-0.3263305,0
194,>CHR1:186322595-186322795,-0.371875377984322,-0.42226765,0
195,>CHR18:13369795-13369995,0.0394934938367371,0.06971122,0
196,>CHR12:8015336-8015536,-0.209103589875251,-0.055234987,0
197,>CHRX:85218876-85219076,-0.207560002857696,-0.37014207,0
198,>CHR3:77105376-77105576,-0.194414062242111,0.17450361,0
199,>CHR11:134067985-134068185,-0.16987483093599,-0.49846092,0
200,>CHR7:10128716-10128916,-0.00187507869590668,-0.36885312,0
201,>CHR1:46497155-46497355,0.0866595621593362,-0.15771396,0
202,>CHR1:230649595-230649795,0.0317676575573111,-0.10603078,0
203,>CHR4:69991716-69991916,0.0655249624114887,-0.08828889,0
204,>CHR16:59574616-59574816,0.397874607859107,0.065933034,0
205,>CHR22:38368596-38368796,-0.267672045703798,-0.22102787,0
206,>CHR9:42981596-42981796,0.00444621763865724,0.15978222,0
207,>CHR11:110804256-110804456,0.658562753330622,-0.088773385,0
208,>CHR8:139801356-139801556,-0.577015265465418,-0.42712495,0
209,>CHR10:75239975-75240175,-1.37271114792591,-0.4758661,0
210,>CHR6:18176506-18176706,-0.16336644438013,-0.54484963,0
211,>CHR1:236545095-236545295,-1.91515723053421,-0.44480872,0
212,>CHR16:27381135-27381335,-0.596014415485691,-0.27749562,0
213,>CHR3:96376596-96376796,0.318632853052661,-0.06145813,0
214,>CHR19:38611396-38611596,-0.594939628186951,-0.36470178,0
215,>CHR22:20705675-20705875,-0.422562503667627,-0.33045566,0
216,>CHR5:163546915-163547115,0.0351156752025043,-0.087404326,0
217,>CHR1:17565945-17566145,0.338084995250112,-0.5224375,0
218,>CHR21:9943955-9944155,-0.165590401789424,-0.22784849,0
